							Insulin=0.01nM	(Dataset 1 of 3)							Insulin=1nM	(Dataset 1 of 3)							Insulin=100nM	(Dataset 1 of 3)							Insulin=0.01nM	(Dataset 2 of 3)							Insulin=1nM	(Dataset 2 of 3)							Insulin=100nM	(Dataset 2 of 3)							Insulin=0.01nM	(Dataset 3 of 3)							Insulin=1nM	(Dataset 3 of 3)							Insulin=100nM	(Dataset 3 of 3)							
10	"Putrescine(1,4-Butanediamine)"	Putrescine	C00134				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.025	0.036	0.015	0.016	0.015	0.023	0.015	0.02	0.03	0.022	0.026	0.027	0.023	0.028	0.022	0.049	0.023	0.018	0.03	N.D.	0.026	0.021	0.012	0.029	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	3.395852266
11	Citrate	Citrate	C00158				0.49	0.35	0.33	0.31	0.38	0.41	0.44	0.54	0.49	0.34	0.36	0.35	0.5	0.61	0.67	0.86	0.42	0.29	0.38	0.36	0.47	0.62	0.8	0.85	0.34	0.32	0.42	0.38	0.34	0.38	0.36	0.43	0.3	0.32	0.39	0.36	0.47	0.44	0.57	0.76	0.31	0.27	0.44	0.41	0.44	0.46	0.59	0.8	0.4	0.42	0.37	0.34	0.33	0.34	0.39	0.49	0.39	0.47	0.45	0.42	0.52	0.59	0.65	0.88	0.39	0.36	0.47	0.42	0.55	0.65	0.75	0.97	3.523664789
12	3PG	3-Phospho-D-glycerate	C00197	C00597			N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	5.1	7.9	9.2	7.9	6.6	6.3	4.5	4.1	4.5	6.8	9.1	7.8	9.9	7.3	6.1	5.7	4.5	6.8	9.8	7.8	9.8	9.6	6.8	5.3	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	2.797667804
13	Isocitrate	Isocitrate	C00311				0.036	N.D.	N.D.	N.D.	N.D.	0.033	0.025	N.D.	0.041	N.D.	N.D.	N.D.	N.D.	0.025	0.032	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.036	N.D.	0.036	N.D.	N.D.	0.042	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.024	N.D.	0.028	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.029	N.D.	N.D.	N.D.	N.D.	N.D.	0.027	N.D.	N.D.	N.D.	N.D.	0.029	N.D.	N.D.	N.D.	N.D.	N.D.	0.042	-1.069797699
14	"F1,6P"	"D-Fructose 1,6-bisphosphate"	C00354	C05378			2.9	4.8	2.8	1.3	2.2	2.2	2.4	2.1	2.5	3.9	3.1	2.5	3.1	2.8	2.6	2.7	2.6	3.4	3.1	2.9	3.1	2.9	3.3	2.5	2.4	4	2.8	2.7	2.3	2	1.6	1.9	2.2	3.9	3.5	2.7	3.1	2.6	2.7	2.7	2.6	3.7	3.5	3.2	3.6	3.3	2.7	2.3	1.9	3.9	2	1.4	1.3	1.5	1.5	1.7	1.8	3.2	2.7	2	2.5	2.1	2	2.3	1.8	2.8	2.8	1.7	2.5	2.3	2.2	2.3	1.107005116
15	Carbamoylaspartate	N-Carbamoyl-L-aspartate	C00438				0.083	0.099	0.1	0.071	0.091	0.094	0.11	0.11	0.081	0.087	0.1	0.082	0.086	0.13	0.17	0.17	0.079	0.066	0.09	0.065	0.11	0.13	0.14	0.16	0.054	0.11	0.16	0.11	0.1	0.13	0.12	0.11	0.069	0.12	0.13	0.15	0.14	0.13	0.15	0.2	0.072	0.1	0.13	0.13	0.14	0.15	0.17	0.15	0.066	0.12	0.11	0.1	0.064	0.1	0.1	0.12	0.079	0.12	0.13	0.13	0.086	0.15	0.13	0.2	0.063	0.099	0.14	0.1	0.12	0.15	0.15	0.19	2.004357286
16	2PG	2-Phospho-D-glycerate	C00631				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.68	N.D.	N.D.	N.D.	N.D.	1.2	N.D.	0.76	0.72	1.4	1.6	1.2	1.3	1.1	0.97	0.99	0.73	0.97	1.4	1.1	N.D.	N.D.	1.1	0.87	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	6.271311794
17	Malate	Malate	C00711	C00149	C00497		1.5	1.8	1.5	1.3	1.9	1.8	1.9	2	1.7	1.7	1.6	1.5	1.9	2.3	2.5	2.4	1.8	1.8	1.4	1.6	2	2.1	2.6	2.6	1.4	1.7	1.3	1.4	1.5	1.4	1.6	1.9	1.3	1.4	1.3	1.2	1.6	1.6	2	2.7	1.4	1.6	1.6	1.6	1.8	1.4	2	2.2	1.4	1.6	1.1	1.2	1.4	1.6	1.7	2	1.5	1.6	1.5	1.4	1.9	2.1	2.3	2.7	1.7	1.6	1.4	1.5	1.9	2	2.6	3	2.090298395
18	Betaine	Betaine	C00719				0.37	0.47	0.58	0.61	0.61	0.59	0.66	0.59	0.41	0.47	0.44	0.51	0.65	0.54	0.67	0.67	0.37	0.38	0.44	0.4	0.51	0.52	0.54	0.63	0.51	0.42	0.61	0.66	0.56	0.49	0.6	0.49	0.38	0.34	0.38	0.35	0.35	0.37	0.4	0.43	0.27	0.25	0.3	0.3	0.28	0.29	0.34	0.39	0.38	0.48	0.53	0.5	0.47	0.53	0.55	0.6	0.39	0.45	0.53	0.82	0.75	0.8	0.66	1.1	0.6	0.57	0.56	0.74	1.2	1.6	1.7	1.3	2.095470615
19	Urocanate	Urocanate	C00785				0.12	0.074	0.079	0.13	0.079	0.067	0.058	0.11	N.D.	N.D.	0.064	0.11	0.12	N.D.	0.059	N.D.	0.089	N.D.	N.D.	0.042	0.094	N.D.	0.078	1	N.D.	N.D.	0.12	0.12	0.11	0.12	0.17	N.D.	0.092	0.1	0.099	0.092	0.22	N.D.	N.D.	N.D.	0.077	N.D.	0.057	N.D.	0.093	0.075	N.D.	N.D.	0.053	0.2	0.34	0.19	0.059	0.057	0.067	0.1	N.D.	0.22	N.D.	0.11	0.097	0.06	0.073	0.15	0.074	N.D.	N.D.	0.076	0.18	0.12	0.13	0.092	1.58913054
20	threo-beta-methylaspartate + Glu	L-threo-3-Methylaspartate	C03618	C00025	C00217	C00302	66	67	61	62	85	86	95	98	73	66	58	61	80	93	106	118	73	71	52	57	82	91	99	111	54.2	42.4	48.4	57.1	66.9	76.1	84.5	108	49	46.4	48	57.4	73.4	78.1	100	130	51	42.9	46.7	50.1	72.3	79.8	98.4	129	60	54	55	64	79	83	93	106	65	60	53	60	80	92	100	127	64	56	51	57	79	81	97	127	1.09036815
21	S7P	Sedoheptulose 7-phosphate	C05382				0.18	0.2	0.23	0.29	0.21	0.27	0.23	0.25	0.22	0.15	0.18	0.21	0.11	0.16	0.16	0.18	0.23	0.14	0.15	0.14	0.14	0.12	0.14	0.14	0.19	0.16	0.22	0.24	0.21	0.26	0.29	0.28	0.16	0.16	0.15	0.24	0.17	0.16	0.14	0.22	0.13	0.14	0.14	0.17	0.14	0.14	0.13	0.23	0.16	0.1	0.17	0.21	0.15	0.22	0.24	0.2	0.21	0.094	0.12	0.15	0.11	0.12	0.11	0.14	0.14	0.11	0.089	0.13	0.1	0.093	0.1	0.15	-1.688109166
22	Glycogen	Starch	C00369	C00718			535.6031235	551.3933742	483.2891833	297.6499764	273.5314082	351.2868452	462.236423	349.581675	614.1214173	613.8172308	226.2173805	299.76085	504.8053475	480.3878302	379.7176741	704.3118377	945.1819154	213.2116017	261.5904806	314.1413283	481.487069	366.1502823	578.7878796	954.9499033																																																	2.441818394
23	FA(16:0)	Hexadecanoic acid	C00249				21055	28887	17939	20034	27026	19955	19452	15745	19158	20683	21502	23396	19481	21901	21669	20335	16070	18549	19198	13697	18141	16224	21108	19344																																																	-1.076284222
24	FA(18:2)	Linoleate	C01595				497	898	642	869	706	846	590	515	561	736	688	714	810	897	816	773	484	976	1016	669	612	685	565	490																																																	-3.520581394
25	AcylCoA (12:0)	Lauroyl-CoA	C01832				5414	7935	7337	8796	8905	9603	7587	10347	4878	6590	9295	8448	6990	10205	7029	8648	5607	7435	7568	9661	8788	8776	8678	8153																																																	-1.917871455
26	ATP	ATP	C00002				12	22	17	11	12	17	17	11	19	12	15	12	16	16	11	8.6	16	10	21	12	12	12	19	8.3	23.5	25.3	22.7	22.9	22	21.9	13.4	12.6	16.6	16.7	21.1	15.6	22.1	16.2	14.8	19.9	14.4	21.9	20	18.2	26.2	24.9	12	12.3	11	12	9.2	9.5	8.6	9.4	9.3	8.1	9.9	9.4	8.9	8.7	12	8.6	6.7	7.8	11	9.7	10	9.3	11	9.5	8.3	7.9	-0.242674671
27	NAD+	NAD+	C00003				2.1	2.7	2.5	2.3	2.6	2.6	2.1	2.2	2.3	2.3	2.3	2.2	2.5	2.3	2.3	2.5	2.3	2.3	2.2	2.2	2.5	2.5	2.3	2.6	2.6	2.2	2.3	2.4	2.4	2.4	2.1	2.4	2.3	2.3	2.2	2.3	2.6	2.4	2.2	2.7	2.2	2.3	2.2	2.1	2.4	2.3	2.4	2.7	1.9	2	1.9	1.7	1.9	2.1	1.7	1.8	1.8	1.7	1.7	1.6	1.7	1.8	1.7	2.1	1.7	1.8	1.6	1.6	1.9	1.7	1.8	2.1	0.428621996
28	NADH	NADH	C00004				1.3	0.85	0.83	0.79	0.84	0.81	1	1.1	1.1	1.1	0.86	0.77	0.91	0.7	0.99	1.2	1.4	0.89	0.74	0.72	0.75	0.73	0.99	1.1	0.93	0.78	0.77	0.68	0.74	0.78	0.8	1.2	0.81	0.79	0.75	0.81	0.74	0.84	1.1	1.3	1.1	0.75	0.77	0.75	0.8	0.7	1.1	1.3	1.2	1.1	0.83	0.42	0.73	0.71	0.73	0.86	1.1	0.9	0.69	0.68	0.75	0.7	0.94	1.1	1.2	0.89	0.57	0.67	0.75	0.82	0.84	1	0.524392641
29	NADPH	NADPH	C00005				1.3	1.1	1.3	1.3	1.1	1.3	1.4	1.3	1.3	1.2	1.2	1.1	1.2	1.2	1.1	1.5	1.4	0.95	1.3	0.96	1.2	0.98	1.4	1.2	1.2	1.3	1.5	1.6	1.4	1.6	1.5	1.7	0.98	1.5	1.5	1.7	1.6	1.6	1.6	1.6	1.2	1.3	1.4	1.4	1.5	1.7	1.9	1.8	1.3	1.4	1.2	1.2	1.2	1.3	1.2	1.3	1.2	1.1	1.2	1.2	1.4	1.3	1.4	1.6	1.4	1.4	1.4	1.4	1.4	1.4	1.5	1.5	0.408475342
30	NADP+	NADP+	C00006				0.39	0.56	0.47	0.44	0.41	0.41	0.4	0.38	0.47	0.42	0.42	0.41	0.43	0.46	0.42	0.41	0.42	0.37	0.43	0.4	0.4	0.42	0.37	0.34	0.36	0.38	0.42	0.46	0.39	0.41	0.33	0.35	0.29	0.41	0.42	0.44	0.43	0.35	0.43	0.35	0.38	0.42	0.43	0.48	0.42	0.51	0.37	0.35	0.23	0.28	0.26	0.28	0.23	0.22	0.25	0.2	0.21	0.27	0.24	0.24	0.24	0.21	0.21	0.2	0.19	0.28	0.28	0.26	0.26	0.21	0.23	0.24	0.14125446
31	ADP	ADP	C00008				1.9	2.5	2.3	1.6	1.7	2.2	2.3	2	2.6	2.1	2.2	1.8	2.3	2.3	1.9	1.8	2.4	1.7	2.6	1.8	1.8	1.7	2.7	1.6	2.8	2.8	2.3	2.2	2.2	2.2	1.7	1.8	2.2	2.2	2.4	1.8	2.3	1.9	1.9	2.5	1.9	2.4	2.4	2.1	2.5	2.3	1.8	1.8	1.6	2	1.4	1.3	1.2	1.5	1.4	1.4	1.7	1.5	1.4	1.3	1.6	1.3	1.2	1.4	1.6	1.4	1.5	1.2	1.4	1.4	1.4	1.4	0.243847045
32	CoA	CoA	C00010				1.1	1	1.2	1.3	1	1.3	1.3	1.3	1.3	1.3	1.3	1.1	1.3	1.5	0.94	1.4	1.4	1.2	1.3	1.3	1.2	0.55	0.94	1.2	0.37	0.57	0.67	0.81	0.66	0.88	0.74	0.89	0.5	0.85	0.79	0.87	1	0.94	0.91	0.65	0.78	0.79	0.84	0.77	0.69	1.1	1	0.73	0.83	1.1	0.79	0.65	0.89	0.97	0.94	0.9	0.76	0.6	0.83	0.84	1	1	1	0.99	0.93	0.95	0.82	0.94	0.91	0.99	0.92	0.98	-0.219142328
33	UDP	UDP	C00015				0.28	0.29	0.28	0.19	0.2	0.31	0.35	0.29	0.38	0.22	0.24	0.22	0.3	0.3	0.25	0.27	0.35	0.19	0.32	0.23	0.21	0.23	0.41	0.25	0.39	0.27	0.26	0.24	0.27	0.27	0.23	0.26	0.29	0.23	0.25	0.2	0.24	0.23	0.28	0.46	0.22	0.24	0.23	0.26	0.28	0.28	0.26	0.3	0.22	0.18	0.11	0.099	0.13	0.15	0.16	0.17	0.21	0.16	0.13	0.14	0.21	0.17	0.16	0.21	0.19	0.15	0.15	0.14	0.18	0.19	0.19	0.21	0.277466658
34	FAD	FAD	C00016				N.D.	N.D.	N.D.	N.D.	0.069	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.15	0.14	0.14	0.16	0.13	0.14	0.15	0.15	0.12	N.D.	0.16	0.18	0.17	0.13	0.17	0.15	N.D.	N.D.	N.D.	N.D.	0.092	0.15	0.16	0.17	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.094	0.077	N.D.
35	SAM+	S-Adenosyl-L-methionine	C00019				0.38	0.49	0.43	0.39	0.35	0.48	0.53	0.44	0.43	0.35	0.37	0.37	0.39	0.43	0.36	0.38	0.48	0.31	0.48	0.31	0.31	0.35	0.47	0.36	0.73	0.67	0.57	0.58	0.53	0.52	0.43	0.51	0.51	0.53	0.51	0.49	0.55	0.45	0.41	0.52	0.46	0.55	0.5	0.49	0.61	0.56	0.41	0.46	0.38	0.43	0.34	0.37	0.35	0.4	0.36	0.37	0.4	0.35	0.39	0.41	0.45	0.31	0.33	0.41	0.38	0.36	0.37	0.37	0.44	0.36	0.35	0.38	-0.346550823
36	AMP	AMP	C00020				0.27	0.23	0.23	0.24	0.24	0.21	0.25	0.27	0.26	0.26	0.26	0.25	0.26	0.27	0.28	0.27	0.29	0.23	0.26	0.25	0.24	0.24	0.31	0.28	0.31	0.26	0.23	0.26	0.24	0.26	0.27	0.3	0.25	0.23	0.24	0.26	0.27	0.25	0.31	0.3	0.26	0.23	0.25	0.26	0.24	0.25	0.28	0.27	0.21	0.24	0.22	0.21	0.22	0.2	0.22	0.23	0.24	0.22	0.22	0.2	0.22	0.21	0.21	0.25	0.2	0.22	0.23	0.22	0.22	0.24	0.26	0.25	0.4375039
37	Acetyl CoA	Acetyl-CoA	C00024				0.026	0.064	N.D.	N.D.	0.023	0.019	N.D.	N.D.	0.026	0.031	0.02	0.018	0.022	0.017	0.014	0.017	N.D.	0.035	0.02	0.019	0.032	0.03	0.013	N.D.	0.017	0.039	0.019	0.028	0.014	0.014	0.0089	0.0079	0.012	0.027	0.0081	0.019	0.023	0.02	N.D.	0.0062	0.008	N.D.	0.021	0.0095	0.014	0.026	0.0081	0.0097	N.D.	N.D.	0.0068	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.012	0.0099	0.015	0.011	N.D.	N.D.	N.D.	N.D.	0.012	N.D.	N.D.	0.0096	N.D.	N.D.	N.D.	0.538792339
38	Glu	L-Glutamate	C00025	C00217	C00302		81	77	78	79	106	105	125	126	90	85	73	79	102	117	137	145	97	94	68	74	109	116	130	148	55.3	46.3	51.3	60.7	71.7	77.6	87.7	113	52.5	50.5	51.8	59.1	78.1	80.8	94.1	122	54	45.2	48.5	54.2	77.9	78.2	93	119	80	71	70	85	102	105	116	135	81	78	71	77	104	118	129	167	87	74	66	74	107	108	131	171	0.428725346
39	UDP-glucose	UDP-glucose	C00029				3.8	3.8	3.6	3.5	4.2	3.8	3.7	3.8	4.4	3.8	3.6	3.5	4.1	3.9	3.7	3.9	4.5	3.9	3.8	3.6	3.6	3.5	3.5	3.5	4.6	4.3	4.2	4.2	4.2	4.5	4.7	5.3	4.2	4.4	4.3	4.1	4.2	4.3	4.7	5.3	4.9	4.3	4.5	4.1	4.3	4.1	4.3	5.1	3.6	3.5	3	2.8	3.3	3.2	3.1	3.5	3.5	3	3	2.4	2.7	2.8	2.7	3.5	3.4	3	2.7	2.5	2.8	2.7	2.7	3.2	-0.221241685
40	GDP	GDP	C00035				0.12	0.15	0.14	0.088	0.1	0.15	0.15	0.13	0.19	0.12	0.14	0.12	0.17	0.14	0.13	0.094	0.17	0.096	0.19	0.11	0.12	0.13	0.21	0.1	0.19	0.18	0.12	0.14	0.15	0.14	0.096	0.099	0.13	0.12	0.15	0.12	0.14	0.11	0.11	0.16	0.095	0.13	0.13	0.13	0.17	0.17	0.096	0.099	0.091	0.097	0.075	0.072	0.091	0.096	0.088	0.078	0.1	0.084	0.088	0.095	0.11	0.087	0.081	0.077	0.094	0.095	0.096	0.092	0.11	0.11	0.096	0.093	0.317705184
41	Gly	Glycine	C00037				86	86	88	88	81	81	82	83	89	87	87	88	81	82	85	82	90	87	93	94	89	85	85	81	67.4	62.6	65.1	61.5	58.8	56.7	54.3	56.8	62.7	60.9	59.4	59.2	57	52.1	55.8	53.2	66.2	61.5	60.7	61.6	58	55	57.9	54.6	73	77	76	82	72	76	71	71	76	77	81	75	64	71	68	73	75	72	78	78	74	71	73	73	0.101294758
42	Succinate	Succinate	C00042				0.8	0.57	0.44	0.5	0.52	0.61	0.74	0.92	0.86	0.53	0.44	0.53	0.52	0.55	0.87	1	0.81	0.56	0.35	0.57	0.53	0.55	0.9	1	0.92	0.38	0.26	0.28	0.3	0.33	0.47	0.65	0.64	0.29	0.24	0.29	0.36	0.28	0.54	0.72	0.53	0.3	0.23	0.32	0.34	0.27	0.5	0.77	0.79	0.45	0.43	0.45	0.51	0.58	0.77	0.98	0.87	0.41	0.44	0.51	0.55	0.59	0.95	1.4	1	0.52	0.38	0.61	0.58	0.54	1	1.4	0.446784431
43	UDP-N-acetylglucosamine	UDP-N-acetyl-alpha-D-glucosamine	C00043				28	29	29	27	28	29	27	27	27	28	29	27	26	28	26	28	27	28	27	26	26	26	25	25	19.6	18.9	21.8	21.7	20.2	19.6	20.7	22.1	18.2	20.6	20.9	20.7	20.9	19	22.5	21	22.2	22.2	20.9	21.1	21.4	20.8	21.4	20.2	19	20	20	19	18	19	18	18	18	17	18	17	15	18	18	18	17	17	18	17	16	17	17	17	-0.156942574
44	GTP	GTP	C00044				0.74	1.7	1.2	0.65	0.72	1	1.1	0.71	1.4	0.83	0.96	0.76	1.1	1.1	0.64	0.51	1.1	0.7	1.5	0.68	0.73	0.74	1.2	0.52	2.4	2.7	1.9	2.2	1.9	1.8	0.94	0.94	1.3	1.4	2	1.2	1.9	1.2	1.1	1.6	1.1	2.1	1.7	1.5	2.9	2.4	1	0.91	0.65	0.76	0.59	0.55	0.5	0.56	0.47	0.43	0.6	0.58	0.49	0.53	0.7	0.53	0.34	0.39	0.57	0.53	0.6	0.58	0.67	0.72	0.54	0.43	0.248131574
45	Lys	L-Lysine	C00047	C00739	C16440		1.6	2.4	2	1.8	2.1	2.3	2.3	2.1	2	1.9	1.8	1.8	2.4	2.6	2.2	2.2	1.9	1.8	1.9	1.6	2.5	2.6	2.6	2.5	2.1	2.2	2.3	2.5	2.3	2.2	1.9	2.1	1.8	1.9	1.8	1.6	2.3	2.1	2.2	2.3	1.7	2	1.8	1.6	2.9	2.9	2.3	2.6	1.5	2	1.8	1.7	2	1.7	1.8	1.8	1.6	2	1.6	1.4	2.2	1.9	1.6	2.2	1.5	1.9	1.5	1.4	2.4	2	2	2.4	0.91238445
